ficha_tecnica_tombo,post_title,autoria,ficha_tecnica_dataperiodo,ficha_tecnica_origem,ficha_tecnica_material,ficha_tecnica_dimensoes,descricao,tax_classificacao,tax_nucleo,tax_ambiente,post_author
M-0785,No campo (À la campagne),"Marc Chagall(1887,Vitebsk-1985,Paris)",Séc. XX - 1925,França,Óleo sobre tela.,"74,0 x 86,0 cm",,Artes Visuais/Pintura,Pintura Européia/Francesa (Séc XVIII e XX),Sala de Música,Daniele Paro
M-0786,noivos com trenó e galo vermelho,"Marc Chagall(1887,Vitebsk-1985,Paris)",Séc. XX - 1957,França,Óleo sobre cartão.,,,Artes Visuais/Pintura,Pintura Européia/Francesa (Séc XVIII e XX),Sala de Música,Paulo de Freitas Costa
M-0973,"""Caranguejo"" - ilustração para capa de cardápio","Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. 1958,Brasil,Xilogravura sobre papel.,"32,5 x 25,0",Cardápio impresso em página dupla.,Artes Visuais/Gravura,Arte Brasileira/Século XX,Mapoteca/G2,Daniele Paro
M-0913,serpente,"Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. 1957,Brasil.,Aquarela  sobre papel.,"50,1 x 35,0",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Mapoteca/G5,Daniele Paro
M-0914,ave - Estudo para ilustração,"Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. 1957,Brasil,Aquarela sobre papel,"50,4 x 34,9",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Mapoteca/G5,Daniele Paro
M-0915,animal híbrido,"Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. 1957,Brasil,Aquarela sobre papel.,"48,9 x 34,6",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Mapoteca/G5,Daniele Paro
M-0916,tatus-bola - Estudo para ilustração,"Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. 1957,Brasil.,Aquarela sobre papel,"50, 4 x 34,9",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Mapoteca/G5,Daniele Paro
M-0917,moluscos - Estudo para ilustração,"Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. 1958,Brasil,Aquarela sobre papel.,"34,5 x 49,0",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Mapoteca/G5,Daniele Paro
M-0918,Jacaré - Estudo para ilustração,"Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. 1957,Brasil,Aquarela? sobre papel.,"48,9 x 34,7.",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Mapoteca/G5,Daniele Paro
M-0821,rio de janeiro,"Tarsila do Amaral (1886, Capivari / SP - 1973, São Paulo / SP)",Séc XX. 1923,Brasil,Óleo sobre tela,"33,0 x 41,0 cm",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Quarto Azul,Paulo de Freitas Costa
M-0796,cabeça de mulata,"Lasar Segall (1889,Vilna/Lituânia - 1957, São Paulo/SP)",Séc. XX. c. 1927 ,Brasil,Óleo sobre tela.,"52,0 x 45,8 cm",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Quarto Principal,Paulo de Freitas Costa
M-0832,retrato de mulata,"Emiliano Di Cavalcanti (1897-1976/Rio de Janeiro, RJ)",Séc. XX - 1955,Brasil,Óleo sobre tela.,"100,0 x 81,0 cm",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Quarto Principal,André Schneck Lima
M-0833,rebanho em repouso,"Lasar Segall (1889,Vilna/Lituânia - 1957, São Paulo/SP)",Séc. XX - 1944,Brasil,Óleo com areia sobre tela.,"73,0 x 92,0 cm",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Quarto Principal/Ante-Sala,André Schneck Lima
M-0834,no mercado em campos do jordão,"Lasar Segall (1889,Vilna/Lituânia - 1957, São Paulo/SP)",Séc. XX - 1941,Brasil,Óleo com areia sobre tela,"47,0 x 55,0 cm",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Quarto Principal/Ante-Sala,Paulo de Freitas Costa
M-0910,retrato de tarSila do amaral,"Lasar Segall (1889,Vilna/Lituânia - 1957, São Paulo/SP)",Séc. XX. 1928,Brasil. São Paulo,Grafite sobre papel.,"32,4 x 22,9 cm (mancha:31 x 22)",,Artes Visuais/Desenho,Arte Brasileira/Século XX,Quarto Principal/Ante-Sala,Paulo de Freitas Costa
M-0793,retrato de lucy,"Lasar Segall (1889,Vilna/Lituânia - 1957, São Paulo/SP)",Séc. XX. 1937,Brasil,Óleo sobre tela,"36,0 x 29,0 cm",,Artes Visuais/Pintura,Arte Brasileira/Século XX,Quarto Principal/Vestíbulo,Daniele Paro
M-0922,Lot e suas filhas,"Marc Chagall(1887,Vitebsk-1985,Paris)",Séc. XX,França,água-forte sobre papel.,"31,8 x 24,9 cm Suporte: 40,0 x 30,0 cm",,Artes Visuais/Gravura,,Reserva Técnica 1 (Q. Rosa),Wipsley Mesquita
M-0925,figura com capacete,"Marcelo Grassmann (1925, São Paulo / SP)",Séc. XX. Anos 50,Brasil,"metal (ponta-seca, água forte e água-tinta )sobre papel","24,7 x 16,4 (suporte: 49,9 x 32,4)",,Artes Visuais/Gravura,,Mapoteca - G2,Daniele Paro
M-0928,Mãe e filhos,"Lasar Segall (1889,Vilna/Lituânia - 1957, São Paulo/SP)",Séc. XX. 1935,Brasil.,Nanquim e aquarela sobre papel.,"14,0 x 18,9 cm",,Artes Visuais/Desenho,Arte Brasileira/Século XX,Reserva Técnica 1 (Q. Rosa),Wipsley Mesquita
