"M-0001","cena campestre (relevo)","","Séc. XV","Alemanha","Marfim esculpido.","6,0 x 15,5 cm - com moldura: 10,0 x 19,5 x 1,9 ","","Artes Visuais - Escultura","Arte Oriental","Reserva Técnica 1 (Q. Rosa)","Izadora Bertussi","Wipsley Mesquita"
"M-0002","Globo terrestre","","Séc. XVIII. c.1800.","Inglaterra","Madeira, papel, metal, policromia.","","","Comunicação Sonora/Visual","","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0003","tinteiro","","barroco","França","Bronze, ormolu e madrepérola.","9,8 x 39,7 x 28,8 cm","Estilo Luis XV. Decorado com aves e motivos florais. Com três recipientes fixos para tinta.","Comunicação Escrita","","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0004","incensário","","Séc. XIX / XX","China","Cerâmica policromada; jade; madeira.","40,5 x 29 x 27,5 cm ap.","Trípode. Formato circular, com três aberturas no interior do recipiente.","Objetos Cerimoniais - Objetos de Culto","Arte Oriental","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0005","figura masculina com animal","","Séc. XVIII","China","Madeira entalhada","22,2 x 21 x 14,5 cm ap.","Personagem mítico Liu Hai ","Artes Visuais - Escultura Religiosa","Arte Oriental","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0006","recipiente","","Séc. XVIII. Quianlong","China","Porcelana policromada.","13,2 x 13,4 x 10,0 cm","Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.","Trabalho - Equipamento de artistas/artesãos","Arte Oriental","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0007","Recipiente","","Séc. XVIII. Quianlong","China","Porcelana policromada. ","13,0 x 13,0 x 10,0 cm","Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.","Trabalho-  Equipamento de artistas/artesãos","Arte Oriental","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0008","guerreiro","","Séc. XX","China","Cerâmica em três cores.","35,0 x 25,0 x 17,5 cm ap.","","Artes Visuais - Escultura","Arte Oriental","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0009","Amazona","","Séc. XVII / XVIII. Ming","China","Cerâmica em três cores.","36,7 x 31,3 x 11,0 cm ap.","Estilo Tang.","Artes Visuais - Escultura","Arte Oriental","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0010","Amazona","","Séc. XX","China","Cerâmica em três cores.","31,4 x 23,3 x 9,3 cm","Estilo Tang. ","Artes Visuais - Escultura","Arte Oriental","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0011","nOSSA SENHORA Divina Pastora","Escola Pernambucana","Séc. XVIII. 2a. metade.","Brasil. Pernambuco.","Madeira entalhada, policromada e dourada, metal, cristal transparente.","40,2 x 17,3 x 12,5 cm","","Artes Visuais - Escultura Religiosa","Arte Brasileira - Século XVIII e XIX","Biblioteca","Izadora Bertussi","Wipsley Mesquita"
"M-0012","São João evangelista","","Séc. XVIII","Equador","Madeira entalhada e policromada, com douramento.","21,6 x 12,0 x 10,5 cm","","Artes Visuais - Escultura Religiosa","","Biblioteca","Izadora Bertussi","Paulo de Freitas Costa"
"M-0013","mesa lateral semi-circular","anônimo","Séc. XIX","França","Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.","108,8 x 40,5 x 83,5 cm ","Par (M-0015). Estilo Adam.","Interiores - Peças de Mobiliário","Mobiliário Europeu","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0014","mesa de centro","","Séc. XIX","China","Madeira lacada; relevo em marfim; nácar.","86,5 x 54,0 x 31,3 cm","","Interiores - Peças de Mobiliário","Arte Oriental","Biblioteca","Izadora Bertussi","Wipsley Mesquita"
"M-0015","mesa lateral semi-circular","anônimo","Séc. XIX","França","Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.","109,0 x 40,5 x 83,1 cm ","Par (M-0013). Estilo Adam.","Interiores - Peças de Mobiliário","Mobiliário Europeu","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0016","Cadeira","","Séc. XIX","França","Madeira entalhada e policromada, com verniz; assento em tecido bordado com fios de seda.","46,3 x 50,7 x 97,7 cm","Par (M-0017).","Interiores - Peças de Mobiliário","Mobiliário Europeu","Biblioteca","Izadora Bertussi","Paulo de Freitas Costa"
"M-0017","Cadeira","","Séc. XIX","França","Madeira entalhada e policromada; assento estofado em tecido bordado com fios de seda.","45,7 x 50,2 x 98,5 cm","Par (M-0016).","Interiores - Peças de Mobiliário","Mobiliário Europeu","Biblioteca","Izadora Bertussi","André Schneck Lima"
"M-0018","Mesa-secretária","Mathieu-Guillaume Cramer (? -1794)","Séc. XVIII","França","Madeira limoeiro (citronnier) com marchetaria, metal dourado e couro gravado com tinta dourada.","126,2 x 62,2 x 72,9 cm / aberta: 222,0 x 62,2 x 72,9 cm ","""Bureau plat de dame"". Época e estilo Luis XVI. Com duas gavetas e dois apoios laterais embutidos.","Interiores - Peças de Mobiliário","Mobiliário Europeu","Biblioteca","Izadora Bertussi","Wipsley Mesquita"
